date,btc_close,composite_score,target_btc_exposure_pct,red_count,green_count,signal,dca_percentile,dca_multiplier,dca_buy_factor,reserve_balance
2015-12-31,429.95,57.8,31.4,1,0,DERISK,100.0,0.75,0.75,0.25
2016-01-01,433.99,57.98,31.0,1,0,DERISK,100.0,0.75,0.75,0.5
2016-01-02,433.72,57.94,31.1,1,0,DERISK,66.7,0.75,0.75,0.75
2016-01-03,430.7,57.75,31.5,1,0,DERISK,25.0,0.75,0.75,1.0
2016-01-04,433.32,58.25,30.5,1,0,DERISK,100.0,0.75,0.75,1.25
2016-01-05,431.2,58.11,30.8,1,0,DERISK,83.3,0.75,0.75,1.5
2016-01-06,430.82,58.07,30.9,1,0,DERISK,71.4,0.75,0.75,1.75
2016-01-07,457.05,59.41,28.1,1,0,DERISK,100.0,0.75,0.75,2.0
2016-01-08,452.87,59.16,28.6,1,0,DERISK,88.9,0.75,0.75,2.25
2016-01-09,448.31,58.89,29.1,1,0,DERISK,80.0,0.75,0.75,2.5
2016-01-10,446.19,58.74,29.4,1,0,DERISK,72.7,0.75,0.75,2.75
2016-01-11,447.72,59.28,28.3,1,0,DERISK,91.7,0.75,0.75,3.0
2016-01-12,445.04,59.11,28.7,1,0,DERISK,76.9,0.75,0.75,3.25
2016-01-13,432.18,57.81,31.4,1,0,DERISK,21.4,0.75,0.75,3.5
2016-01-14,429.13,57.43,32.2,1,0,DERISK,6.7,0.75,0.75,3.75
2016-01-15,372.26,50.63,48.4,0,0,DERISK,6.2,0.75,0.75,4.0
2016-01-16,385.04,52.26,44.4,0,0,DERISK,11.8,0.75,0.75,4.25
2016-01-17,382.47,51.92,45.2,0,0,DERISK,11.1,0.75,0.75,4.5
2016-01-18,384.4,47.6,56.0,0,0,DERISK,5.3,0.75,0.75,4.75
2016-01-19,379.46,46.96,57.5,0,0,DERISK,5.0,0.75,0.75,5.0
2016-01-20,414.58,51.18,47.1,1,0,DERISK,19.0,0.75,0.75,5.25
2016-01-21,410.24,50.67,48.3,1,0,DERISK,18.2,0.75,0.75,5.5
2016-01-22,382.65,47.34,56.6,0,0,ACCUMULATE,8.7,1.25,1.25,5.25
2016-01-23,388.61,48.09,54.8,0,0,ACCUMULATE,16.7,1.25,1.25,5.0
2016-01-24,402.13,49.72,50.7,0,0,ACCUMULATE,20.0,1.25,1.25,4.75
2016-01-25,392.76,48.48,53.8,0,0,ACCUMULATE,19.2,1.25,1.25,4.5
2016-01-26,389.78,48.1,54.7,0,0,ACCUMULATE,18.5,1.25,1.25,4.25
2016-01-27,395.02,48.75,53.1,0,0,ACCUMULATE,25.0,1.25,1.25,4.0
2016-01-28,379.69,46.84,57.8,0,0,ACCUMULATE,3.4,1.25,1.25,3.75
2016-01-29,380.29,46.91,57.7,0,0,ACCUMULATE,6.7,1.25,1.25,3.5
2016-01-30,377.76,46.59,58.4,0,0,ACCUMULATE,3.2,1.25,1.25,3.25
2016-01-31,369.84,45.6,60.8,0,0,ACCUMULATE,3.1,1.25,1.25,3.0
2016-02-01,372.18,44.41,63.6,0,0,ACCUMULATE,3.0,1.25,1.25,2.75
2016-02-02,373.92,44.62,63.1,0,0,ACCUMULATE,5.9,1.25,1.25,2.5
2016-02-03,368.02,43.89,64.8,0,0,ACCUMULATE,2.9,1.25,1.25,2.25
2016-02-04,390.65,46.69,58.2,0,0,ACCUMULATE,16.7,1.25,1.25,2.0
2016-02-05,386.46,46.16,59.5,0,0,ACCUMULATE,13.5,1.25,1.25,1.75
2016-02-06,376.68,44.94,62.4,0,0,ACCUMULATE,10.5,1.25,1.25,1.5
2016-02-07,377.94,45.09,62.0,0,0,ACCUMULATE,12.8,1.25,1.25,1.25
2016-02-08,372.63,44.12,64.3,0,0,ACCUMULATE,5.0,1.25,1.25,1.0
2016-02-09,375.32,44.45,63.5,0,0,ACCUMULATE,9.8,1.25,1.25,0.75
2016-02-10,381.88,45.24,61.7,0,0,ACCUMULATE,19.0,1.25,1.25,0.5
2016-02-11,379.45,44.93,62.4,0,0,ACCUMULATE,14.0,1.25,1.25,0.25
2016-02-12,384.04,45.49,61.1,0,0,ACCUMULATE,22.7,1.25,1.25,0.0
2016-02-13,390.1,46.22,59.3,0,0,ACCUMULATE,28.9,1.25,1.25,0.0
2016-02-14,405.5,48.09,54.8,0,0,HOLD,47.8,1.0,1.0,0.0
